id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Trey;DuBuque;Phoebe72@yahoo.com;bonnet;2022-08-06T09:58:50;8565;15748
2;Destiny;Dickinson;Charity19@yahoo.com;carbonize;2022-08-05T21:37:35;295;9123
3;Elsa;Price;Lillian.Emard-Reilly@hotmail.com;rhapsodize full dim;2022-08-05T18:36:22;28025;1608
4;Tabitha;Wisozk;Eleanora.Willms@gmail.com;ugh electrocardiogram nearly;2022-08-06T02:55:48;1163;17296
5;Toney;Kuhic;Monroe_Spencer1@hotmail.com;up;2022-08-05T13:54:50;27879;11088
6;Elda;Balistreri;Keegan11@hotmail.com;than;2022-08-06T04:29:16;6570;4255
7;Teresa;Nader;Jimmie_Collins88@gmail.com;meh gig;2022-08-05T14:02:21;24651;19268
8;Talon;Ondricka;Kirstin_Gerlach@hotmail.com;weepy;2022-08-06T03:33:47;19133;25502
9;Ally;Friesen;Madonna4@yahoo.com;till scrummage;2022-08-05T15:15:20;9494;1392
10;Daisha;Hackett;Jace.Lang73@yahoo.com;thunderstorm partially mortally;2022-08-06T09:20:15;23187;243
