id;street_address;postal_code;city;state_province
1;frankly if;now eke;North Kattieshire;liquid
2;scornful gratefully;fun upwardly memorise;New Anna;once deny
3;so violently hm;dead jaunty giving;North Horacio;closely dual runny
4;since antagonize;that alongside testimonial;Crooksburgh;well-to-do instead boohoo
5;preheat cassava mooch;mixture;Port Alysonborough;excitedly concerning
6;offset;while;New Ivah;not
7;detective miserably smarten;aw extremely;Memphis;meh
8;acidic cram pillbox;yum;Devinville;that gee
9;rightfully adventurously;underpants;Mount Prospect;around phew
10;reckon variable;yuck republican;Nikolausside;bah once nor
